"Izbrani podatki po statistiènih regijah, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Število zaposlenih oseb (po delovnem mestu)";"SLOVENIJA";789863;767373;747194;729050;717043;698724;703040;713076;730526;755291;780203;801909;794623;804432;824134;833363;841278;836620
"Število zaposlenih oseb (po delovnem mestu)";"Pomurska";36005;34192;32387;32045;31821;30882;30368;30161;30691;31289;31894;32706;32726;33375;33958;34117;34716;34586
"Število zaposlenih oseb (po delovnem mestu)";"Podravska";114923;109830;106701;103719;100775;97974;99539;101371;102747;105131;107596;110996;109409;110334;113380;114458;118430;116690
"Število zaposlenih oseb (po delovnem mestu)";"Koroška";24212;22825;21542;20988;20989;20312;20301;20488;20555;21222;21838;22188;21837;21931;22222;22254;22246;22103
"Število zaposlenih oseb (po delovnem mestu)";"Savinjska";98977;95591;92068;89371;87397;85063;85458;85248;87531;90101;92359;94872;92981;95052;97246;98177;98349;97605
"Število zaposlenih oseb (po delovnem mestu)";"Zasavska";12264;11556;11119;10720;10293;9766;9397;11981;11951;12035;12301;12440;12417;12624;12966;13217;13274;13179
"Število zaposlenih oseb (po delovnem mestu)";"Posavska";21189;20718;19909;19053;18649;18085;18165;19270;19847;20583;21260;21747;21647;22010;22839;22891;23004;22663
"Število zaposlenih oseb (po delovnem mestu)";"Jugovzhodna Slovenija";50679;48500;47145;45647;44527;43649;43831;44959;46551;48869;50731;52404;51377;51315;51527;51674;51643;51574
"Število zaposlenih oseb (po delovnem mestu)";"Osrednjeslovenska";261015;258910;254840;250815;251344;246234;248903;250180;256857;266973;278628;286348;288569;293254;300930;305955;309467;309520
"Število zaposlenih oseb (po delovnem mestu)";"Gorenjska";67254;64342;63253;61720;60067;59333;59472;60461;61820;64061;67000;69142;67343;67792;70160;70801;70322;69514
"Število zaposlenih oseb (po delovnem mestu)";"Primorsko-notranjska";16342;16311;15795;14790;14089;13757;13746;13949;14159;14356;14543;14778;14492;14584;14856;14906;14851;14590
"Število zaposlenih oseb (po delovnem mestu)";"Goriška";44637;42496;40904;39714;38440;36965;37043;37422;38245;39858;40175;41379;40828;41208;42264;42463;42206;41688
"Število zaposlenih oseb (po delovnem mestu)";"Obalno-kraška";42367;42104;41531;40468;38651;36704;36818;37587;39572;40814;41879;42908;40998;40953;41786;42451;42769;42908
"Stopnja anketne brezposelnosti (%)";"SLOVENIJA";4.4;5.9;7.3;8.2;8.9;10.1;9.7;9.0;8.0;6.6;5.1;4.5;5.0;4.7;4.0;3.7;3.7;..
"Stopnja anketne brezposelnosti (%)";"Pomurska";7.2;8.4;11.7;15.7;14.3;13.3;13.1;12.5;10.8;9.6;9.2;7.1;6.0;5.5;4.9;3.8;4.1;..
"Stopnja anketne brezposelnosti (%)";"Podravska";6.4;8.4;9.0;9.7;10.6;11.7;12.0;11.0;9.0;7.2;5.8;5.1;6.6;6.2;5.1;4.3;5.4;..
"Stopnja anketne brezposelnosti (%)";"Koroška";3.4;3.9;7.9;7.4;7.2;11.3;12.2;9.7;7.4;4.3;3.2;5.4;5.1;4.4;3.1;2.5;2.6;..
"Stopnja anketne brezposelnosti (%)";"Savinjska";4.7;5.4;5.4;7.5;8.4;11.2;11.0;10.4;9.3;6.8;5.5;4.4;5.2;4.6;3.3;3.4;3.1;..
"Stopnja anketne brezposelnosti (%)";"Zasavska";5.3;8.8;8.6;6.0;9.4;15.4;11.5;10.8;10.8;6.7;4.8;6.0;5.2;4.1;4.8;4.5;4.7;..
"Stopnja anketne brezposelnosti (%)";"Posavska";5.2;8.1;9.1;13.1;11.7;10.9;9.1;6.0;7.0;4.3;3.2;4.2;3.9;4.1;5.8;3.0;3.0;..
"Stopnja anketne brezposelnosti (%)";"Jugovzhodna Slovenija";3.7;6.1;7.1;6.8;9.7;11.1;9.2;9.8;8.1;6.5;3.5;2.7;3.6;4.2;2.6;3.7;3.4;..
"Stopnja anketne brezposelnosti (%)";"Osrednjeslovenska";3.3;4.3;6.5;7.2;7.3;8.2;7.7;7.3;6.5;6.2;4.9;4.5;4.3;4.7;3.9;3.6;3.8;..
"Stopnja anketne brezposelnosti (%)";"Gorenjska";3.6;6.3;7.1;7.3;7.5;7.3;6.4;6.9;6.1;5.7;3.9;3.1;4.3;3.3;2.8;3.2;2.6;..
"Stopnja anketne brezposelnosti (%)";"Primorsko-notranjska";3.5;2.9;4.5;6.7;7.4;6.1;10.0;9.0;6.5;5.5;7.0;6.2;8.3;3.3;4.7;4.7;4.9;..
"Stopnja anketne brezposelnosti (%)";"Goriška";3.3;4.5;6.0;6.5;8.5;10.1;8.5;7.7;7.1;6.4;4.1;3.5;3.1;4.7;3.5;2.8;3.1;..
"Stopnja anketne brezposelnosti (%)";"Obalno-kraška";3.8;5.3;6.5;6.4;8.4;12.4;12.7;9.3;11.8;8.1;6.2;3.7;6.2;5.3;5.6;4.3;2.3;..
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"SLOVENIJA";1391.43;1438.96;1494.88;1524.65;1525.47;1523.18;1540.25;1555.89;1584.66;1626.95;1681.55;1753.84;1856.20;1969.59;2023.92;2254.86;2394.92;2536.03
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Pomurska";1158.19;1238.28;1309.78;1325.62;1333.98;1336.85;1364.55;1383.76;1412.02;1456.24;1515.13;1591.74;1699.49;1797.08;1834.39;2050.54;2178.19;2329.40
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Podravska";1282.25;1329.15;1377.14;1398.14;1398.73;1394.51;1404.54;1420.30;1449.99;1495.24;1544.28;1605.09;1711.41;1830.91;1858.20;2068.26;2228.54;2377.12
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Koroška";1226.98;1262.48;1343.00;1387.54;1395.46;1406.19;1427.19;1453.62;1493.84;1540.18;1592.39;1646.68;1735.81;1852.86;1896.44;2108.72;2222.09;2349.45
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Savinjska";1255.70;1282.98;1360.22;1391.95;1395.37;1396.90;1421.22;1429.58;1445.36;1485.79;1538.27;1592.53;1671.92;1774.30;1824.96;2044.49;2184.73;2315.75
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Zasavska";1310.85;1356.25;1405.78;1441.35;1404.17;1414.36;1409.93;1378.79;1410.34;1453.92;1506.10;1572.66;1673.89;1789.75;1852.93;2060.59;2193.72;2332.26
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Posavska";1282.85;1325.52;1374.36;1414.15;1420.24;1415.44;1435.01;1445.78;1480.66;1526.79;1576.04;1648.97;1766.10;1879.42;1903.06;2153.17;2288.75;2441.62
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Jugovzhodna Slovenija";1332.14;1370.21;1446.19;1496.63;1509.92;1516.62;1554.82;1560.47;1583.01;1612.03;1676.22;1769.98;1868.95;1981.44;2039.50;2289.83;2416.86;2532.96
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Osrednjeslovenska";1578.20;1634.54;1678.13;1707.54;1699.22;1685.00;1696.05;1719.97;1751.43;1794.34;1851.58;1934.45;2057.92;2172.22;2235.24;2481.00;2625.64;2781.67
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Gorenjska";1348.91;1377.73;1440.13;1467.77;1484.50;1508.29;1526.09;1545.33;1570.01;1616.91;1673.34;1724.99;1784.59;1901.96;1973.54;2205.17;2338.40;2445.28
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Primorsko-notranjska";1218.06;1233.11;1281.18;1334.32;1325.96;1336.21;1355.89;1374.28;1388.68;1431.09;1475.55;1540.31;1632.87;1734.31;1782.01;1960.47;2068.62;2206.01
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Goriška";1359.17;1386.99;1452.20;1468.97;1460.38;1458.25;1472.42;1487.37;1523.53;1562.57;1608.06;1678.26;1741.82;1878.35;1939.28;2154.53;2280.97;2398.86
"Povpreèna meseèna bruto plaèa na zaposleno osebo (EUR)";"Obalno-kraška";1390.81;1446.59;1482.24;1509.22;1505.94;1494.41;1510.98;1533.34;1559.86;1597.48;1637.61;1721.02;1795.93;1898.99;1967.84;2171.48;2296.72;2422.94
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"SLOVENIJA";899.80;930.00;966.62;987.39;991.44;997.01;1005.41;1013.23;1030.16;1062.00;1092.74;1133.50;1208.65;1270.30;1318.64;1470.08;1526.02;1602.05
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Pomurska";775.07;826.02;873.88;883.09;891.27;897.19;911.81;922.87;939.81;969.78;1004.11;1048.19;1123.71;1176.61;1214.28;1356.64;1404.94;1486.73
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Podravska";841.63;871.22;904.55;917.78;920.83;924.01;929.01;938.53;955.44;986.49;1014.64;1048.52;1121.91;1188.54;1220.90;1358.79;1426.51;1508.19
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Koroška";808.57;834.68;884.74;913.57;920.62;931.96;943.00;956.86;980.68;1012.97;1043.88;1075.35;1141.45;1204.76;1246.90;1386.00;1426.61;1494.29
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Savinjska";825.55;844.84;892.80;916.61;920.72;927.71;940.51;945.25;954.44;983.33;1013.49;1042.52;1104.83;1161.11;1204.39;1350.23;1409.07;1482.13
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Zasavska";857.76;884.88;915.48;940.82;922.41;934.58;931.88;914.36;932.60;964.20;993.67;1032.67;1105.14;1167.74;1221.77;1361.04;1412.12;1489.55
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Posavska";843.79;870.75;903.70;929.80;936.70;938.05;948.60;955.44;975.68;1008.55;1036.63;1077.23;1159.77;1219.61;1249.92;1412.34;1464.61;1546.70
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Jugovzhodna Slovenija";876.04;902.26;950.02;980.34;989.55;999.64;1018.77;1022.58;1035.66;1058.95;1094.95;1148.94;1221.98;1283.81;1337.41;1499.77;1544.37;1607.37
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Osrednjeslovenska";996.81;1031.42;1060.59;1081.86;1082.59;1083.75;1088.02;1099.23;1118.06;1152.68;1184.59;1231.33;1320.95;1382.64;1436.64;1596.68;1654.89;1738.18
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Gorenjska";880.64;899.98;940.13;960.77;974.54;992.31;1000.93;1010.83;1024.92;1060.03;1091.38;1120.37;1171.63;1234.72;1291.18;1444.69;1496.42;1552.66
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Primorsko-notranjska";808.45;823.16;852.50;887.86;885.11;895.93;906.93;918.08;924.82;954.62;980.28;1016.98;1084.56;1139.04;1183.62;1305.41;1344.04;1416.62
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Goriška";887.49;907.13;950.96;967.10;963.61;969.71;979.70;984.59;1006.55;1036.65;1061.28;1100.96;1151.90;1225.56;1278.41;1421.03;1470.82;1532.04
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Obalno-kraška";901.03;935.38;961.04;978.75;980.18;979.33;988.00;998.39;1014.77;1042.88;1064.94;1113.87;1173.33;1229.38;1288.80;1424.30;1472.46;1539.81
